Task2 Solution (Core Perspective) of Our team:

Host0 finishes its jobs at 184.65, and is released at 186.36:

        Core0 has 28 tasks. It finishes its jobs at 177.30, and is released at 177.30:
        Block41: H4, C5, R3 (time=6.36)
        Block42: H4, C4, R8 (time=3.43)
        Block43: H4, C4, R11 (time=1.57)
        Block44: H4, C5, R13 (time=0.86)
        Block45: H4, C4, R3 (time=6.29)
        Block46: H4, C5, R10 (time=2.43)
        Block47: H4, C4, R12 (time=1.57) 
        Block48: H4, C5, R11 (time=1.86)
        Block49: H4, C3, R9 (time=3.14)
        Block50: H4, C6, R7 (time=4.29)
        Block51: H4, C5, R4 (time=5.71)
        Block52: H4, C3, R3 (time=6.00)
        Block53: H4, C6, R5 (time=5.57)
        Block54: H4, C5, R8 (time=3.57)
        Block55: H4, C5, R12 (time=1.00)
        Block56: H4, C6, R2 (time=6.71)
        Block57: H2, C6, R9 (time=3.21)
        Block58: H2, C6, R10 (time=2.50)
        Block59: H4, C5, R6 (time=4.64) 
        Block60: H2, C6, R1 (time=7.07)
        Block61: H4, C6, R3 (time=6.07)
        Block62: H4, C6, R10 (time=2.50)

Job11 obtains 6 cores (speed=22.50) and finishes at time 132.72:
        Block0: H0, C3, R20 (time=3.47)
        Block1: H3, C4, R15 (time=3.33)
        Block2: H4, C6, R24 (time=1.33)
        Block3: H3, C4, R19 (time=2.04)
        Block4: H4, C6, R22 (time=2.36)
        Block5: H3, C4, R13 (time=4.04)
        Block6: H3, C4, R16 (time=3.16) 
        Block7: H4, C4, R20 (time=3.47)
        Block8: H4, C5, R19 (time=3.20)
        Block9: H4, C6, R19 (time=3.42)
        Block10: H4, C6, R23 (time=1.78)
        Block11: H4, C4, R23 (time=2.36)
        Block12: H3, C4, R21 (time=0.76)
        Block13: H4, C4, R19 (time=3.69)
        Block14: H0, C3, R18 (time=4.31)
        Block15: H4, C5, R18 (time=3.24)
        Block16: H3, C5, R19 (time=1.82)
        Block17: H0, C3, R24 (time=1.91)
        Block18: H3, C5, R13 (time=4.13) 
        Block19: H4, C5, R17 (time=3.96)
        Block20: H4, C6, R21 (time=2.93)
        Block21: H4, C5, R22 (time=2.09)
        Block22: H0, C3, R26 (time=0.49)
        Block23: H4, C4, R25 (time=1.11)
        Block24: H3, C4, R18 (time=2.44)
        Block25: H3, C5, R15 (time=3.29)
        Block26: H3, C5, R18 (time=2.53)
        Block27: H3, C4, R14 (time=4.00)
        Block28: H0, C3, R22 (time=2.93)
        Block29: H3, C4, R20 (time=0.98) 
        Block30: H4, C5, R20 (time=2.62)
        Block31: H3, C5, R16 (time=3.20)
        Block32: H0, C3, R19 (time=3.60)
        Block33: H4, C4, R22 (time=2.71)
        Block34: H4, C6, R20 (time=3.02)
        Block35: H3, C4, R17 (time=2.62)
        Block36: H4, C6, R25 (time=0.62)
        Block37: H4, C4, R26 (time=0.80)
        Block38: H0, C3, R25 (time=1.60)
        Block39: H4, C5, R21 (time=2.40)
        Block40: H3, C5, R21 (time=0.76) 
        Block41: H4, C5, R24 (time=0.89)
        Block42: H4, C6, R18 (time=3.51)
        Block43: H4, C5, R16 (time=4.13)
        Block44: H4, C5, R23 (time=1.07)
        Block45: H4, C4, R21 (time=3.16)
        Block46: H3, C5, R17 (time=2.58)
        Block47: H3, C5, R20 (time=1.24)
        Block48: H0, C3, R21 (time=3.11)
        Block49: H4, C4, R18 (time=4.22)
        Block50: H0, C3, R23 (time=2.36)
        Block51: H3, C5, R14 (time=3.91) 
        Block52: H4, C4, R24 (time=2.00)
        Block53: H4, C6, R17 (time=4.44)

Job12 obtains 7 cores (speed=2.75) and finishes at time 186.36:
        Block0: H3, C1, R2 (time=33.09)
        Block1: H0, C1, R8 (time=6.91)
        Block2: H3, C1, R1 (time=35.27)
        Block3: H0, C1, R6 (time=16.73)
        Block4: H3, C2, R6 (time=15.64)
        Block5: H2, C1, R6 (time=16.36)
        Block6: H2, C1, R7 (time=13.09) 
        Block7: H3, C2, R5 (time=24.00)
        Block8: H3, C2, R2 (time=34.91)
        Block9: H1, C0, R1 (time=35.27) 
        Block10: H1, C0, R2 (time=32.73)
        Block11: H0, C1, R3 (time=29.82)
        Block12: H2, C1, R3 (time=29.09)
        Block13: H3, C3, R6 (time=17.45)
        Block14: H1, C0, R8 (time=10.18)
        Block15: H2, C2, R7 (time=14.55) 
        Block16: H3, C3, R2 (time=34.18)
        Block17: H3, C1, R6 (time=16.36)
        Block18: H3, C2, R9 (time=3.64)
        Block19: H2, C2, R2 (time=32.73)
        Block20: H2, C2, R6 (time=16.73)
        Block21: H3, C2, R1 (time=34.91)
        Block22: H2, C2, R5 (time=20.00)
        Block23: H2, C1, R8 (time=7.27)
        Block24: H3, C3, R7 (time=14.55)
        Block25: H0, C1, R5 (time=21.82)
        Block26: H3, C2, R8 (time=4.73)
        Block27: H1, C0, R3 (time=32.00)
        Block28: H0, C1, R2 (time=32.36)
        Block29: H2, C2, R1 (time=36.00)
        Block30: H3, C3, R5 (time=18.91)
        Block31: H3, C2, R3 (time=27.27)
        Block32: H2, C1, R4 (time=25.09) 
        Block33: H3, C2, R7 (time=14.18)
        Block34: H0, C1, R4 (time=25.09)
        Block35: H2, C1, R1 (time=35.27)
        Block36: H1, C0, R5 (time=18.55)
        Block37: H3, C3, R4 (time=26.55)
        Block38: H2, C1, R2 (time=33.82)
        Block39: H3, C2, R4 (time=25.82)
        Block40: H3, C3, R3 (time=28.00)
        Block41: H1, C0, R7 (time=14.55)
        Block42: H3, C1, R8 (time=8.73)
        Block43: H3, C3, R8 (time=10.55)
        Block44: H2, C1, R5 (time=23.27)
        Block45: H3, C1, R7 (time=12.00)
        Block46: H0, C1, R7 (time=14.55) 
        Block47: H3, C1, R4 (time=24.73)
        Block48: H3, C3, R1 (time=34.91)
        Block49: H0, C1, R1 (time=36.36)
        Block50: H1, C0, R4 (time=24.36)
        Block51: H2, C2, R4 (time=25.45)
        Block52: H2, C2, R3 (time=29.45)
        Block53: H2, C2, R8 (time=10.18)
        Block54: H3, C1, R5 (time=24.00)
        Block55: H3, C1, R3 (time=30.18)
        Block56: H1, C0, R6 (time=17.82)

Job13 obtains 10 cores (speed=3.90) and finishes at time 177.30: 
        Block0: H1, C2, R24 (time=16.15)
        Block1: H2, C5, R16 (time=20.77)
        Block2: H2, C6, R18 (time=14.36)
        Block3: H2, C5, R19 (time=7.69)
        Block4: H2, C3, R16 (time=4.87)
        Block5: H2, C3, R15 (time=8.72)
        Block6: H0, C0, R27 (time=4.87)
        Block7: H1, C2, R23 (time=23.33)
        Block8: H0, C0, R28 (time=3.59)
        Block9: H2, C6, R17 (time=16.67)
        Block10: H1, C1, R19 (time=10.00)
        Block11: H0, C0, R26 (time=7.69) 
        Block12: H4, C0, R15 (time=20.51)
        Block13: H2, C0, R21 (time=4.62)
        Block14: H1, C1, R18 (time=11.28)
        Block15: H2, C5, R20 (time=5.38)
        Block16: H4, C0, R18 (time=11.03)
        Block17: H2, C0, R17 (time=24.10)
        Block18: H3, C7, R17 (time=19.49)
        Block19: H1, C1, R20 (time=4.36)
        Block20: H2, C3, R14 (time=12.05)
        Block21: H4, C0, R19 (time=3.59)
        Block22: H0, C0, R23 (time=24.10)
        Block23: H1, C2, R27 (time=5.13)
        Block24: H3, C7, R19 (time=6.15)
        Block25: H4, C0, R17 (time=11.54)
        Block26: H2, C6, R20 (time=4.62) 
        Block27: H4, C2, R16 (time=17.18)
        Block28: H2, C0, R20 (time=10.00)
        Block29: H4, C2, R19 (time=5.13)
        Block30: H0, C0, R25 (time=12.82)
        Block31: H3, C7, R21 (time=2.56)
        Block32: H4, C2, R17 (time=14.36)
        Block33: H2, C6, R19 (time=7.44)
        Block34: H1, C2, R25 (time=13.08)
        Block35: H1, C1, R16 (time=21.79)
        Block36: H1, C2, R26 (time=7.69) 
        Block37: H1, C1, R17 (time=18.72)
        Block38: H4, C0, R16 (time=19.23)
        Block39: H2, C5, R18 (time=12.82)
        Block40: H3, C7, R16 (time=19.49)
        Block41: H0, C0, R24 (time=15.64)
        Block42: H3, C7, R20 (time=4.62)
        Block43: H2, C3, R12 (time=20.26)
        Block44: H4, C2, R18 (time=6.41)
        Block45: H2, C5, R17 (time=19.23) 
        Block46: H2, C0, R19 (time=11.54)
        Block47: H3, C7, R18 (time=15.64)
        Block48: H2, C3, R13 (time=19.49)
        Block49: H4, C2, R15 (time=22.31)
        Block50: H2, C0, R18 (time=15.90)
        Block51: H2, C6, R16 (time=22.82)

Job14 obtains 3 cores (speed=28.05) and finishes at time 32.83:
        Block0: H0, C0, R7 (time=2.35)
        Block1: H0, C0, R14 (time=0.96)
        Block2: H0, C0, R5 (time=2.60)
        Block3: H0, C2, R10 (time=1.64)
        Block4: H0, C2, R14 (time=0.86)
        Block5: H1, C2, R1 (time=3.46) 
        Block6: H0, C0, R12 (time=1.32)
        Block7: H0, C2, R2 (time=3.17)
        Block8: H1, C2, R10 (time=1.64)
        Block9: H0, C2, R16 (time=0.39)
        Block10: H0, C0, R10 (time=1.71)
        Block11: H1, C2, R5 (time=2.60)
        Block12: H1, C2, R4 (time=2.67)
        Block13: H1, C2, R13 (time=1.14)
        Block14: H1, C2, R9 (time=1.85)
        Block15: H1, C2, R12 (time=1.25)
        Block16: H1, C2, R3 (time=2.89)
        Block17: H1, C2, R8 (time=2.00)
        Block18: H0, C0, R6 (time=2.50)
        Block19: H0, C0, R9 (time=1.85) 
        Block20: H0, C0, R13 (time=1.07)
        Block21: H0, C2, R11 (time=1.43)
        Block22: H0, C2, R3 (time=2.75)
        Block23: H0, C2, R15 (time=0.68)
        Block24: H0, C0, R8 (time=1.93)
        Block25: H0, C2, R4 (time=2.75) 
        Block26: H0, C0, R11 (time=1.57)
        Block27: H0, C0, R4 (time=2.75)
        Block28: H0, C2, R5 (time=2.67)
        Block29: H0, C2, R6 (time=2.53)
        Block30: H0, C0, R15 (time=0.64)
        Block31: H0, C2, R7 (time=2.35)
        Block32: H1, C2, R2 (time=3.24)
        Block33: H1, C2, R16 (time=0.61)
        Block34: H1, C2, R11 (time=1.53)
        Block35: H0, C0, R1 (time=3.53)
        Block36: H1, C2, R15 (time=0.68)
        Block37: H0, C2, R12 (time=1.39)
        Block38: H0, C2, R9 (time=1.75)
        Block39: H0, C0, R3 (time=2.89) 
        Block40: H1, C2, R6 (time=2.50)
        Block41: H0, C2, R8 (time=2.03)
        Block42: H1, C2, R14 (time=0.71)
        Block43: H0, C2, R13 (time=1.14)
        Block44: H0, C2, R1 (time=3.49)
        Block45: H0, C0, R2 (time=2.96)
        Block46: H1, C2, R7 (time=2.39)

The maximum finish time: 186.36
The sum of response time: 1373.96
